Rank,Name,Net Worth,Change,Age,Country/Territory,Source,Industry,Net Worth Num
1,Bernard Arnault & family,$211 B,up arrow,74.0,France,LVMH,Fashion & Retail,211.0
2,Elon Musk,$180 B,down arrow,51.0,United States,"Tesla, SpaceX",Automotive,180.0
3,Jeff Bezos,$114 B,down arrow,59.0,United States,Amazon,Technology,114.0
4,Larry Ellison,$107 B,up arrow,78.0,United States,Oracle,Technology,107.0
5,Warren Buffett,$106 B,down arrow,92.0,United States,Berkshire Hathaway,Finance & Investments,106.0
6,Bill Gates,$104 B,down arrow,67.0,United States,Microsoft,Technology,104.0
7,Michael Bloomberg,$94.5 B,up arrow,81.0,United States,Bloomberg LP,Media & Entertainment,94.5
8,Carlos Slim Helu & family,$93 B,up arrow,83.0,Mexico,Telecom,Telecom,93.0
9,Mukesh Ambani,$83.4 B,down arrow,65.0,India,Diversified,Diversified,83.4
10,Steve Ballmer,$80.7 B,down arrow,67.0,United States,Microsoft,Technology,80.7
11,Francoise Bettencourt Meyers & family,$80.5 B,up arrow,69.0,France,L'Oréal,Fashion & Retail,80.5
12,Larry Page,$79.2 B,down arrow,50.0,United States,Google,Technology,79.2
13,Amancio Ortega,$77.3 B,up arrow,87.0,Spain,Zara,Fashion & Retail,77.3
14,Sergey Brin,$76 B,down arrow,49.0,United States,Google,Technology,76.0
15,Zhong Shanshan,$68 B,up arrow,68.0,China,"Beverages, pharmaceuticals",Food & Beverage,68.0
16,Mark Zuckerberg,$64.4 B,down arrow,38.0,United States,Facebook,Technology,64.4
17,Charles Koch & family,$59 B,down arrow,87.0,United States,Koch Industries,Diversified,59.0
17,Julia Koch & family,$59 B,down arrow,60.0,United States,Koch Industries,Diversified,59.0
19,Jim Walton,$58.8 B,down arrow,74.0,United States,Walmart,Fashion & Retail,58.8
20,Rob Walton & family,$57.6 B,down arrow,78.0,United States,Walmart,Fashion & Retail,57.6
21,Alice Walton,$56.7 B,down arrow,73.0,United States,Walmart,Fashion & Retail,56.7
22,David Thomson & family,$54.4 B,up arrow,65.0,Canada,Media,Media & Entertainment,54.4
23,Michael Dell,$50.1 B,down arrow,58.0,United States,Dell Technologies,Technology,50.1
24,Gautam Adani,$47.2 B,down arrow,60.0,India,"Infrastructure, commodities",Diversified,47.2
25,Phil Knight & family,$45.1 B,down arrow,85.0,United States,Nike,Fashion & Retail,45.1
26,Zhang Yiming,$45 B,down arrow,39.0,China,TikTok,Technology,45.0
27,Dieter Schwarz,$42.9 B,down arrow,83.0,Germany,Retail,Fashion & Retail,42.9
28,François Pinault & family,$40.1 B,down arrow,86.0,France,Luxury goods,Fashion & Retail,40.1
29,Klaus-Michael Kuehne,$39.1 B,up arrow,85.0,Germany,Shipping,Logistics,39.1
30,Giovanni Ferrero,$38.9 B,up arrow,58.0,Italy,"Nutella, chocolates",Food & Beverage,38.9
31,Jacqueline Mars,$38.3 B,up arrow,83.0,United States,"Candy, pet food",Food & Beverage,38.3
31,John Mars,$38.3 B,up arrow,87.0,United States,"Candy, pet food",Food & Beverage,38.3
33,Li Ka-shing,$38 B,up arrow,94.0,Hong Kong,Diversified,Diversified,38.0
34,Ma Huateng,$35.3 B,down arrow,51.0,China,Internet media,Technology,35.3
35,Miriam Adelson & family,$35 B,up arrow,77.0,United States,Casinos,Gambling & Casinos,35.0
35,Ken Griffin,$35 B,up arrow,54.0,United States,Hedge funds,Finance & Investments,35.0
37,Mark Mateschitz,$34.7 B,new to list,30.0,Austria,Red Bull,Food & Beverage,34.7
38,Robin Zeng,$33.4 B,down arrow,54.0,Hong Kong,Batteries,Automotive,33.4
39,Tadashi Yanai & family,$32.6 B,up arrow,74.0,Japan,Fashion retail,Fashion & Retail,32.6
40,Len Blavatnik,$32.1 B,down arrow,65.0,United States,"Music, chemicals",Diversified,32.1
41,Alain Wertheimer,$31.6 B,up arrow,74.0,France,Chanel,Fashion & Retail,31.6
41,Gerard Wertheimer,$31.6 B,up arrow,72.0,France,Chanel,Fashion & Retail,31.6
43,Gianluigi Aponte,$31.2 B,,82.0,Switzerland,Shipping,Logistics,31.2
43,Rafaela Aponte-Diamant,$31.2 B,,78.0,Switzerland,Shipping,Logistics,31.2
45,Colin Huang,$30.2 B,up arrow,43.0,China,E-commerce,Technology,30.2
46,Reinhold Wuerth & family,$29.7 B,up arrow,87.0,Germany,Fasteners,Manufacturing,29.7
47,Lee Shau Kee,$29.5 B,down arrow,95.0,Hong Kong,Real estate,Real Estate,29.5
48,Jeff Yass,$28.5 B,up arrow,64.0,United States,"Trading, investments",Finance & Investments,28.5
49,Jim Simons,$28.1 B,down arrow,84.0,United States,Hedge funds,Finance & Investments,28.1
50,Stephen Schwarzman,$27.8 B,down arrow,76.0,United States,Investments,Finance & Investments,27.8
51,Susanne Klatten,$27.4 B,up arrow,60.0,Germany,"BMW, pharmaceuticals",Automotive,27.4
52,Gina Rinehart,$27 B,down arrow,69.0,Australia,Mining,Metals & Mining,27.0
53,William Ding,$26.7 B,up arrow,51.0,China,Online games,Technology,26.7
54,Germán Larrea Mota Velasco & family,$26.6 B,down arrow,69.0,Mexico,Mining,Metals & Mining,26.6
55,Shiv Nadar,$25.6 B,down arrow,77.0,India,software services,Technology,25.6
56,Low Tuck Kwong,$25.5 B,up arrow,74.0,Indonesia,Coal,Energy,25.5
57,Thomas Peterffy,$25.3 B,up arrow,78.0,United States,Discount brokerage,Finance & Investments,25.3
58,Andrey Melnichenko & family,$25.2 B,up arrow,51.0,Russia,"Fertilizers, coal",Metals & Mining,25.2
59,Stefan Quandt,$24.6 B,up arrow,56.0,Germany,BMW,Automotive,24.6
60,MacKenzie Scott,$24.4 B,down arrow,52.0,United States,Amazon,Technology,24.4
61,R. Budi Hartono,$24.2 B,up arrow,82.0,Indonesia,"Banking, tobacco",Finance & Investments,24.2
62,Vladimir Potanin,$23.7 B,up arrow,62.0,Russia,Metals,Metals & Mining,23.7
63,Jack Ma,$23.5 B,up arrow,58.0,China,E-commerce,Technology,23.5
64,He Xiangjian & family,$23.4 B,down arrow,80.0,China,Home appliances,Manufacturing,23.4
65,Iris Fontbona & family,$23.1 B,up arrow,80.0,Chile,Mining,Metals & Mining,23.1
65,Michael Hartono,$23.1 B,up arrow,83.0,Indonesia,"Banking, tobacco",Manufacturing,23.1
67,James Ratcliffe,$22.9 B,up arrow,70.0,United Kingdom,Chemicals,Manufacturing,22.9
68,Cyrus Poonawalla,$22.6 B,down arrow,81.0,India,Vaccines,Healthcare,22.6
69,Masayoshi Son,$22.4 B,up arrow,65.0,Japan,"Internet, telecom",Telecom,22.4
70,Vladimir Lisin,$22.1 B,up arrow,66.0,Russia,"Steel, transport",Metals & Mining,22.1
71,Emmanuel Besnier,$22 B,down arrow,52.0,France,Cheese,Food & Beverage,22.0
72,Abigail Johnson,$21.6 B,up arrow,61.0,United States,Fidelity,Finance & Investments,21.6
72,Leonid Mikhelson & family,$21.6 B,up arrow,67.0,Russia,"Gas, chemicals",Energy,21.6
74,Lukas Walton,$21.2 B,up arrow,36.0,United States,Walmart,Fashion & Retail,21.2
74,Wang Wei,$21.2 B,down arrow,52.0,China,Package delivery,Service,21.2
76,Jensen Huang,$21.1 B,up arrow,60.0,United States,Semiconductors,Technology,21.1
77,Leonard Lauder,$21 B,down arrow,90.0,United States,Estee Lauder,Fashion & Retail,21.0
77,Takemitsu Takizaki,$21 B,down arrow,77.0,Japan,Sensors,Manufacturing,21.0
79,Alexey Mordashov & family,$20.9 B,up arrow,57.0,Russia,"Steel, investments",Metals & Mining,20.9
80,Vagit Alekperov,$20.5 B,up arrow,72.0,Russia,Oil,Energy,20.5
81,"Thomas Frist, Jr. & family",$20.2 B,down arrow,84.0,United States,Hospitals,Healthcare,20.2
82,Andrew Forrest & family,$19.6 B,up arrow,61.0,Australia,Mining,Metals & Mining,19.6
83,Ray Dalio,$19.1 B,down arrow,73.0,United States,Hedge funds,Finance & Investments,19.1
84,Eric Li,$19 B,down arrow,59.0,China,Automobiles,Automotive,19.0
84,Wang Wenyin,$19 B,up arrow,55.0,China,"Mining, copper products",Metals & Mining,19.0
86,Eyal Ofer,$18.9 B,up arrow,72.0,Israel,"Real estate, shipping",Diversified,18.9
86,Qin Yinglin,$18.9 B,down arrow,57.0,China,Pig breeding,Food & Beverage,18.9
88,Wang Chuanfu,$18.7 B,down arrow,57.0,China,"Batteries, automobiles",Automotive,18.7
89,Harold Hamm & family,$18.5 B,up arrow,77.0,United States,Oil & gas,Energy,18.5
89,David Tepper,$18.5 B,up arrow,65.0,United States,Hedge funds,Finance & Investments,18.5
89,Gennady Timchenko,$18.5 B,up arrow,70.0,Russia,"Oil, gas",Energy,18.5
92,Daniel Gilbert,$18 B,down arrow,61.0,United States,Quicken Loans,Finance & Investments,18.0
93,Lakshmi Mittal,$17.7 B,down arrow,72.0,India,Steel,Metals & Mining,17.7
94,Steve Cohen,$17.5 B,up arrow,66.0,United States,Hedge funds,Finance & Investments,17.5
94,Carl Icahn,$17.5 B,up arrow,87.0,United States,Investments,Finance & Investments,17.5
94,Savitri Jindal & family,$17.5 B,down arrow,73.0,India,Steel,Metals & Mining,17.5
97,Donald Bren,$17.4 B,up arrow,90.0,United States,Real estate,Real Estate,17.4
97,"John Menard, Jr.",$17.4 B,up arrow,83.0,United States,Home improvement stores,Fashion & Retail,17.4
99,Rupert Murdoch & family,$17.1 B,down arrow,92.0,United States,"Newspapers, TV network",Media & Entertainment,17.1
100,Vicky Safra & family,$16.7 B,up arrow,70.0,Brazil,Banking,Finance & Investments,16.7
101,"Theo Albrecht, Jr. & family",$16.5 B,down arrow,72.0,Germany,"Aldi, Trader Joe's",Fashion & Retail,16.5
101,Renata Kellnerova & family,$16.5 B,down arrow,55.0,Czech Republic,"Finance, telecommunications",Finance & Investments,16.5
103,Li Xiting,$16.3 B,down arrow,72.0,Singapore,medical devices,Healthcare,16.3
104,Stefan Persson,$16.2 B,down arrow,75.0,Sweden,H&M,Fashion & Retail,16.2
104,Eric Schmidt,$16.2 B,down arrow,67.0,United States,Google,Technology,16.2
106,Michael Platt,$16 B,up arrow,55.0,United Kingdom,Hedge funds,Finance & Investments,16.0
107,Pang Kang,$15.9 B,down arrow,67.0,China,Soy sauce,Food & Beverage,15.9
108,Karl Albrecht Jr. & family,$15.8 B,,,Germany,Supermarkets,Fashion & Retail,15.8
108,Beate Heister,$15.8 B,,,Germany,Supermarkets,Fashion & Retail,15.8
108,Jorge Paulo Lemann & family,$15.8 B,up arrow,83.0,Brazil,Beer,Food & Beverage,15.8
108,Peter Woo,$15.8 B,down arrow,76.0,Hong Kong,Real estate,Real Estate,15.8
112,Dilip Shanghvi,$15.6 B,unchanged,67.0,India,Pharmaceuticals,Healthcare,15.6
113,Robert Pera,$15.5 B,up arrow,45.0,United States,Wireless networking,Technology,15.5
114,Radhakishan Damani,$15.3 B,down arrow,68.0,India,"Retail, investments",Fashion & Retail,15.3
115,Huang Shilin,$15.2 B,down arrow,56.0,China,Batteries,Automotive,15.2
116,Dhanin Chearavanont,$14.9 B,up arrow,83.0,Thailand,Diversified,Diversified,14.9
116,David Green & family,$14.9 B,up arrow,81.0,United States,Retail,Fashion & Retail,14.9
118,Charoen Sirivadhanabhakdi,$14.8 B,up arrow,78.0,Thailand,"Alcohol, real estate",Food & Beverage,14.8
119,Charlene de Carvalho-Heineken & family,$14.7 B,down arrow,68.0,Netherlands,Heineken,Food & Beverage,14.7
120,Xu Hang,$14.6 B,down arrow,60.0,Hong Kong,Medical devices,Healthcare,14.6
121,Wei Jianjun & family,$14.5 B,down arrow,59.0,China,Automobiles,Automotive,14.5
122,Alisher Usmanov,$14.4 B,up arrow,69.0,Russia,"Steel, telecom, investments",Metals & Mining,14.4
123,Goh Cheng Liang,$14.3 B,up arrow,95.0,Singapore,Paints,Manufacturing,14.3
124,Kumar Birla,$14.2 B,down arrow,55.0,India,Commodities,Diversified,14.2
124,Aliko Dangote,$14.2 B,up arrow,65.0,Nigeria,"Cement, sugar",Manufacturing,14.2
126,Kwong Siu-hing,$14.1 B,up arrow,93.0,Hong Kong,Real estate,Real Estate,14.1
127,Idan Ofer,$14 B,up arrow,67.0,Israel,Shipping,Diversified,14.0
128,Chen Bang,$13.9 B,up arrow,57.0,China,Hospitals,Healthcare,13.9
128,Lui Che Woo,$13.9 B,up arrow,94.0,Hong Kong,Casinos/hotels,Gambling & Casinos,13.9
130,John Fredriksen,$13.7 B,up arrow,78.0,Cyprus,Shipping,Logistics,13.7
130,Diane Hendricks,$13.7 B,up arrow,76.0,United States,Building supplies,Construction & Engineering,13.7
130,Jan Koum,$13.7 B,up arrow,47.0,United States,WhatsApp,Technology,13.7
133,Jerry Jones,$13.3 B,up arrow,80.0,United States,Dallas Cowboys,Sports,13.3
133,George Kaiser,$13.3 B,up arrow,80.0,United States,"Oil & gas, banking",Energy,13.3
133,Joseph Lau,$13.3 B,down arrow,71.0,Hong Kong,Real estate,Real Estate,13.3
136,Lu Xiangyang,$13.2 B,down arrow,60.0,China,"Automobiles, batteries",Automotive,13.2
137,Harry Triguboff,$13.1 B,up arrow,90.0,Australia,Real estate,Real Estate,13.1
138,Uday Kotak,$12.9 B,down arrow,64.0,India,Banking,Finance & Investments,12.9
138,Stanley Kroenke,$12.9 B,up arrow,75.0,United States,"Sports, real estate",Sports,12.9
140,Mikhail Fridman,$12.6 B,up arrow,58.0,Russia,"Oil, banking, telecom",Energy,12.6
141,Sarath Ratanavadi,$12.3 B,up arrow,57.0,Thailand,Energy,Energy,12.3
142,Dang Yanbao,$12.2 B,down arrow,50.0,China,Coal,Metals & Mining,12.2
142,Jiang Rensheng & family,$12.2 B,down arrow,69.0,China,Vaccines,Healthcare,12.2
